id,name,set,country,round,type
343,NUT INR3 FQ,NUT,IN,3,FQ
344,NUT INR3 SQ,NUT,IN,3,SQ
345,NUT INR4 HQ,NUT,IN,4,HQ
346,NUT INR4 FQ,NUT,IN,4,FQ
347,NUT INR4 SQ,NUT,IN,4,SQ
348,NUT INR5 HQ,NUT,IN,5,HQ
349,NUT INR5 FQ,NUT,IN,5,FQ
350,NUT INR5 SQ,NUT,IN,5,SQ
351,NUT INR6 HQ,NUT,IN,6,HQ
352,NUT INR6 FQ,NUT,IN,6,FQ
353,NUT INR6 SQ,NUT,IN,6,SQ
354,NUT INR7 HQ,NUT,IN,7,HQ
355,NUT INR7 FQ,NUT,IN,7,FQ
356,NUT INR7 SQ,NUT,IN,7,SQ
357,NUT IDR1 HQ,NUT,ID,1,HQ
358,NUT IDR1 FQ,NUT,ID,1,FQ
359,NUT IDR1 SQ,NUT,ID,1,SQ
360,NUT IDR2 HQ,NUT,ID,2,HQ
361,NUT IDR2 FQ,NUT,ID,2,FQ
362,NUT IDR2 SQ,NUT,ID,2,SQ
363,NUT IDR3 HQ,NUT,ID,3,HQ
364,NUT IDR3 FQ,NUT,ID,3,FQ
365,NUT IDR3 SQ,NUT,ID,3,SQ
366,NUT IDR4 HQ,NUT,ID,4,HQ
367,NUT IDR4 FQ,NUT,ID,4,FQ
368,NUT IDR4 SQ,NUT,ID,4,SQ
369,NUT IDR5 HQ,NUT,ID,5,HQ
370,NUT IDR5 FQ,NUT,ID,5,FQ
371,NUT IDR5 SQ,NUT,ID,5,SQ
372,NUT IDR6 HQ,NUT,ID,6,HQ
373,NUT IDR6 FQ,NUT,ID,6,FQ
374,NUT IDR6 SQ,NUT,ID,6,SQ
375,NUT IDR7 HQ,NUT,ID,7,HQ
376,NUT IDR7 FQ,NUT,ID,7,FQ
377,NUT IDR7 SQ,NUT,ID,7,SQ
378,NUT KER1 HQ,NUT,KE,1,HQ
379,NUT KER1 FQ,NUT,KE,1,FQ
380,NUT KER1 SQ,NUT,KE,1,SQ
381,NUT KER2 HQ,NUT,KE,2,HQ
382,NUT KER2 FQ,NUT,KE,2,FQ
383,NUT KER2 SQ,NUT,KE,2,SQ
384,NUT KER3 HQ,NUT,KE,3,HQ
385,NUT KER3 FQ,NUT,KE,3,FQ
386,NUT KER3 SQ,NUT,KE,3,SQ
387,NUT KER4 HQ,NUT,KE,4,HQ
388,NUT KER4 FQ,NUT,KE,4,FQ
389,NUT KER4 SQ,NUT,KE,4,SQ
390,NUT KER5 HQ,NUT,KE,5,HQ
391,NUT KER5 FQ,NUT,KE,5,FQ
392,NUT KER5 SQ,NUT,KE,5,SQ
393,NUT KER6 HQ,NUT,KE,6,HQ
394,NUT KER6 FQ,NUT,KE,6,FQ
395,NUT KER6 SQ,NUT,KE,6,SQ
396,NUT KER7 HQ,NUT,KE,7,HQ
397,NUT KER7 FQ,NUT,KE,7,FQ
398,NUT KER7 SQ,NUT,KE,7,SQ
399,NUT NGR1 HQ,NUT,NG,1,HQ
400,NUT NGR1 FQ,NUT,NG,1,FQ
401,NUT NGR1 SQ,NUT,NG,1,SQ
402,NUT NGR2 HQ,NUT,NG,2,HQ
403,NUT NGR2 FQ,NUT,NG,2,FQ
404,NUT NGR2 SQ,NUT,NG,2,SQ
405,NUT NGR3 HQ,NUT,NG,3,HQ
406,NUT NGR3 FQ,NUT,NG,3,FQ
407,NUT NGR3 SQ,NUT,NG,3,SQ
408,NUT NGR4 HQ,NUT,NG,4,HQ
409,NUT NGR4 FQ,NUT,NG,4,FQ
410,NUT NGR4 SQ,NUT,NG,4,SQ
411,NUT NGR5 HQ,NUT,NG,5,HQ
